Mode	0 (ELC+HOCR)	Original image:	Images/original_80.pgm	Noise-added image:	Images/noise_80.pgm
Initial Energy =	15857.5	Initial PSNR =	22.596

t_build	t_ELC	t_HOCR	t_solve	Iter	t(sec.)	labeled	Energy	PSNR	#vars
0.143	3.892	0.054	0.014	0	4.145	90.78	10983.2	24.776	7834
0.137	3.440	0.053	0.006	1	7.817	99.64	10419.6	25.100	6958
0.132	4.108	0.056	0.014	2	12.166	91.11	8378.6	26.472	8289
0.136	3.313	0.053	0.005	3	15.709	99.95	8096.2	26.685	6839
0.131	4.191	0.056	0.015	4	20.139	93.27	6839.9	27.734	8353
0.135	3.271	0.051	0.005	5	23.637	99.94	6680.8	27.882	6816
0.133	4.166	0.057	0.012	6	28.042	95.81	5951.3	28.543	8280
0.135	3.291	0.052	0.004	7	31.561	99.97	5824.2	28.651	6879
0.131	4.086	0.058	0.012	8	35.885	97.09	5336.9	29.219	8306
0.134	3.220	0.052	0.004	9	39.331	100.00	5258.1	29.306	6781
0.131	4.012	0.055	0.010	10	43.577	98.39	4902.0	29.772	8111
0.137	3.264	0.054	0.005	11	47.073	100.00	4846.7	29.861	6822
0.134	3.932	0.055	0.009	12	51.243	98.89	4584.4	30.225	8044
0.136	3.170	0.050	0.005	13	54.640	100.00	4538.2	30.293	6765
0.133	3.901	0.054	0.010	14	58.775	99.17	4346.6	30.579	7891
0.134	3.222	0.050	0.006	15	62.221	100.00	4318.5	30.621	6776
0.134	3.941	0.055	0.008	16	66.397	99.47	4163.9	30.904	7940
0.138	3.183	0.051	0.005	17	69.810	100.00	4135.9	30.945	6746
0.133	3.748	0.054	0.010	18	73.793	99.00	4014.4	31.112	7817
0.134	3.233	0.051	0.005	19	77.252	100.00	3995.5	31.152	6745
0.130	3.804	0.055	0.009	20	81.286	99.53	3884.2	31.340	7914
0.138	3.224	0.053	0.005	21	84.741	100.00	3868.8	31.365	6793
0.133	3.910	0.055	0.009	22	88.886	99.53	3784.6	31.505	7948
0.134	3.192	0.052	0.004	23	92.304	100.00	3761.6	31.561	6763
0.136	3.914	0.055	0.012	24	96.458	99.64	3673.5	31.764	7952
0.136	3.191	0.051	0.005	25	99.877	100.00	3660.1	31.783	6744
0.132	3.833	0.055	0.009	26	103.943	99.89	3584.8	31.950	7929
0.137	3.253	0.052	0.006	27	107.425	100.00	3572.9	31.981	6798
0.135	3.901	0.054	0.008	28	111.561	99.91	3513.3	32.137	7913
0.136	3.202	0.052	0.005	29	114.993	100.00	3499.6	32.165	6764
0.133	3.607	0.053	0.007	30	118.837	99.81	3440.9	32.347	7582
0.137	3.211	0.051	0.006	31	122.279	100.00	3432.3	32.368	6784
0.131	3.691	0.053	0.007	32	126.199	99.97	3380.9	32.524	7714
0.134	3.220	0.051	0.004	33	129.645	99.97	3370.9	32.544	6783
0.133	3.548	0.053	0.008	34	133.424	99.92	3332.7	32.661	7543
0.138	3.277	0.052	0.005	35	136.933	100.00	3325.4	32.675	6789
0.132	3.584	0.053	0.007	36	140.746	99.83	3296.0	32.770	7543
0.135	3.174	0.051	0.005	37	144.144	100.00	3291.0	32.786	6725
0.135	3.633	0.053	0.008	38	148.009	99.92	3261.0	32.870	7613
0.135	3.231	0.052	0.005	39	151.468	100.00	3254.2	32.886	6769
0.135	3.495	0.052	0.007	40	155.192	99.94	3223.1	32.993	7551
0.135	3.227	0.053	0.006	41	158.649	100.00	3218.8	33.007	6784
0.132	3.619	0.052	0.008	42	162.497	99.91	3193.2	33.072	7622
0.136	3.220	0.053	0.005	43	165.948	100.00	3190.1	33.085	6777
0.133	3.517	0.053	0.006	44	169.694	99.91	3160.8	33.165	7471
0.138	3.172	0.053	0.005	45	173.098	100.00	3154.3	33.178	6728
0.134	3.500	0.054	0.008	46	176.830	100.00	3136.7	33.246	7480
0.136	3.233	0.052	0.005	47	180.291	100.00	3131.3	33.261	6759
0.133	3.605	0.055	0.007	48	184.129	99.95	3116.3	33.323	7582
0.136	3.206	0.052	0.004	49	187.564	100.00	3113.4	33.330	6768
0.134	3.650	0.053	0.007	50	191.445	100.00	3095.0	33.389	7597
0.137	3.169	0.051	0.005	51	194.842	100.00	3092.5	33.401	6735
0.133	3.639	0.054	0.007	52	198.711	99.97	3075.7	33.457	7611
0.135	3.175	0.051	0.004	53	202.113	100.00	3072.5	33.479	6734
0.133	3.619	0.054	0.008	54	205.963	100.00	3058.2	33.544	7637
0.135	3.230	0.051	0.004	55	209.420	100.00	3055.4	33.553	6812
0.132	3.561	0.053	0.009	56	213.212	100.00	3042.2	33.622	7592
0.137	3.228	0.052	0.005	57	216.669	100.00	3040.2	33.626	6797
0.131	3.570	0.052	0.005	58	220.466	99.97	3030.5	33.679	7534
0.136	3.361	0.053	0.005	59	224.056	100.00	3028.9	33.689	6752
0.133	3.547	0.053	0.008	60	227.842	99.95	3015.6	33.755	7559
0.136	3.173	0.052	0.004	61	231.243	100.00	3013.4	33.767	6698
0.130	3.490	0.053	0.007	62	234.960	100.00	3000.3	33.827	7527
0.134	3.170	0.051	0.005	63	238.354	100.00	2998.2	33.834	6725
0.132	3.446	0.052	0.007	64	242.029	100.00	2987.5	33.901	7483
0.138	3.192	0.051	0.005	65	245.451	100.00	2985.7	33.904	6734
0.132	3.561	0.053	0.008	66	249.241	100.00	2977.0	33.941	7533
0.136	3.211	0.052	0.004	67	252.680	100.00	2974.3	33.962	6732
0.131	3.629	0.053	0.008	68	256.539	99.91	2964.8	34.015	7595
0.151	3.516	0.056	0.006	69	260.308	100.00	2962.5	34.028	6822
0.136	3.592	0.053	0.008	70	264.132	100.00	2953.5	34.077	7581
0.133	3.193	0.051	0.005	71	267.550	100.00	2951.6	34.091	6768
0.131	3.549	0.052	0.007	72	271.326	99.91	2942.8	34.152	7587
0.134	3.182	0.053	0.004	73	274.735	100.00	2941.7	34.157	6765
0.131	3.605	0.054	0.008	74	278.570	99.97	2933.5	34.190	7656
0.137	3.204	0.052	0.004	75	282.003	100.00	2932.1	34.199	6733
0.129	3.650	0.053	0.008	76	285.882	99.97	2925.6	34.228	7628
0.138	3.235	0.052	0.005	77	289.348	100.00	2923.9	34.239	6798
0.130	3.518	0.051	0.007	78	293.090	99.92	2916.6	34.278	7538
0.134	3.157	0.050	0.004	79	296.472	99.94	2915.0	34.279	6732
0.131	3.573	0.053	0.006	80	300.274	100.00	2908.8	34.321	7582
0.135	3.159	0.051	0.006	81	303.660	100.00	2908.2	34.323	6742
0.131	3.531	0.053	0.007	82	307.419	100.00	2901.4	34.358	7495
Denoised image written to	Images/result_0_80.pgm
