Mode	1 (Approx. ELC)	Original image:	Images/original_200.pgm	Noise-added image:	Images/noise_200.pgm
Initial Energy =	100958.2	Initial PSNR =	22.502

t_build	t_ELCapprox	t_solve	Iter	t(sec.)	labeled	Energy	PSNR	#vars
0.6100	2.9320		0.0520	0	3.731	97.45	67443.1	24.931	40000
0.6180	3.0920		0.0320	1	7.555	99.97	64311.8	25.210	40000
0.5890	2.8450		0.0490	2	11.123	97.90	51026.4	26.645	40000
0.6160	3.0990		0.0330	3	14.955	100.00	49328.6	26.852	40000
0.5800	2.8460		0.0500	4	18.516	98.31	41978.3	27.854	40000
0.6180	3.3280		0.0310	5	22.574	100.00	41049.1	27.995	40000
0.5940	2.8070		0.0450	6	26.105	99.05	36495.7	28.770	40000
0.6130	3.0810		0.0320	7	29.914	100.00	35828.2	28.886	40000
0.5950	2.8310		0.0440	8	33.470	99.53	32828.9	29.467	40000
0.6290	3.1210		0.0340	9	37.336	100.00	32370.2	29.552	40000
0.5980	2.8810		0.0450	10	40.943	99.39	30249.2	30.024	40000
0.6170	3.0300		0.0320	11	44.706	100.00	29883.2	30.098	40000
0.5950	2.8370		0.0470	12	48.270	99.67	28292.1	30.462	40000
0.6110	3.0470		0.0320	13	52.046	99.98	28025.0	30.519	40000
0.5930	2.8590		0.0430	14	55.627	99.73	26751.3	30.862	40000
0.6120	3.0540		0.0310	15	59.406	100.00	26544.0	30.922	40000
0.6010	2.8690		0.0410	16	63.002	99.72	25525.0	31.222	40000
0.6100	3.0530		0.0330	17	66.780	100.00	25316.7	31.282	40000
0.5960	2.8390		0.0410	18	70.341	99.84	24523.8	31.540	40000
0.6110	3.0520		0.0310	19	74.118	100.00	24381.7	31.589	40000
0.5990	2.8270		0.0430	20	77.672	99.92	23690.8	31.836	40000
0.6100	3.0510		0.0310	21	81.448	100.00	23568.6	31.876	40000
0.6260	2.8550		0.0410	22	85.054	99.94	22998.5	32.067	40000
0.6160	3.0460		0.0310	23	88.830	100.00	22901.9	32.097	40000
0.5940	2.8320		0.0430	24	92.382	99.91	22433.7	32.276	40000
0.5980	3.0610		0.0310	25	96.158	100.00	22353.4	32.306	40000
0.5990	2.8560		0.0410	26	99.737	99.92	21963.7	32.455	40000
0.6350	3.0860		0.0320	27	103.573	100.00	21874.5	32.495	40000
0.5930	2.8530		0.0400	28	107.145	99.97	21516.6	32.645	40000
0.6170	3.0580		0.0320	29	110.937	100.00	21454.0	32.673	40000
0.5920	2.7680		0.0390	30	114.462	99.96	21130.7	32.811	40000
0.6100	3.0170		0.0300	31	118.205	100.00	21067.5	32.837	40000
0.5940	2.8080		0.0400	32	121.730	99.94	20775.8	32.969	40000
0.6110	3.0330		0.0310	33	125.490	100.00	20733.1	32.990	40000
0.5890	2.8080		0.0390	34	129.008	99.95	20484.5	33.106	40000
0.6140	3.0400		0.0310	35	132.778	100.00	20439.5	33.124	40000
0.5940	2.8490		0.0430	36	136.348	99.94	20229.3	33.230	40000
0.6210	3.0660		0.0310	37	140.153	100.00	20197.0	33.249	40000
0.5970	2.8300		0.0390	38	143.705	99.98	20011.3	33.355	40000
0.6130	3.0630		0.0310	39	147.499	100.00	19972.6	33.374	40000
0.5870	2.9000		0.0410	40	151.111	99.95	19799.5	33.471	40000
0.6210	3.0640		0.0330	41	154.916	100.00	19767.0	33.490	40000
0.5940	2.8370		0.0390	42	158.472	99.98	19603.7	33.589	40000
0.6120	3.2180		0.0320	43	162.416	100.00	19572.5	33.603	40000
0.5920	2.8150		0.0400	44	165.949	99.98	19427.2	33.685	40000
0.6130	3.0620		0.0310	45	169.743	100.00	19400.4	33.703	40000
0.5930	2.8200		0.0390	46	173.281	99.99	19277.0	33.774	40000
0.6140	3.0630		0.0320	47	177.076	100.00	19251.7	33.791	40000
0.5990	2.8300		0.0400	48	180.631	99.98	19133.0	33.864	40000
