Mode	1 (Approx. ELC)	Original image:	p°Q	Noise-added image:	P°Q
Initial Energy =	8896.1	Initial PSNR =	22.566

t_build	t_red	t_solve	Iter	t(sec.)	labeled	Energy	PSNR	#vars
0.077	0.451	0.005	0	0.553	97.36	6001.2	24.951	3600
0.079	0.540	0.004	1	1.193	100.00	5701.2	25.274	3600
0.078	0.439	0.006	2	1.731	96.75	4494.5	26.713	3600
0.081	0.505	0.003	3	2.337	100.00	4352.3	26.937	3600
0.076	0.472	0.006	4	2.905	98.61	3719.2	27.995	3600
0.081	0.466	0.004	5	3.471	100.00	3615.6	28.170	3600
0.077	0.449	0.005	6	4.016	99.06	3249.9	28.778	3600
0.079	0.493	0.003	7	4.608	100.00	3195.4	28.898	3600
0.079	0.446	0.004	8	5.153	99.75	2946.3	29.472	3600
0.080	0.487	0.004	9	5.741	100.00	2911.5	29.579	3600
0.091	0.453	0.007	10	6.310	99.19	2735.1	29.911	3600
0.083	0.492	0.003	11	6.903	100.00	2710.8	29.985	3600
0.078	0.444	0.005	12	7.447	99.89	2568.6	30.412	3600
0.080	0.489	0.004	13	8.036	100.00	2550.8	30.493	3600
0.084	0.453	0.005	14	8.597	99.92	2433.3	30.766	3600
0.078	0.467	0.003	15	9.160	100.00	2407.8	30.839	3600
0.080	0.437	0.005	16	9.701	100.00	2317.8	31.081	3600
0.080	0.485	0.004	17	10.288	100.00	2303.4	31.118	3600
0.077	0.444	0.004	18	10.828	99.89	2230.6	31.351	3600
0.096	0.468	0.004	19	11.411	100.00	2219.4	31.380	3600
0.076	0.450	0.004	20	11.962	100.00	2168.8	31.583	3600
0.082	0.491	0.004	21	12.556	100.00	2160.5	31.626	3600
0.076	0.447	0.004	22	13.100	100.00	2118.7	31.850	3600
0.079	0.473	0.002	23	13.669	100.00	2109.5	31.878	3600
0.080	0.457	0.004	24	14.226	99.92	2076.5	31.996	3600
0.082	0.481	0.004	25	14.811	100.00	2069.8	32.012	3600
0.076	0.446	0.005	26	15.351	99.83	2032.6	32.149	3600
0.080	0.472	0.003	27	15.923	100.00	2027.3	32.156	3600
0.078	0.441	0.004	28	16.467	99.81	1998.6	32.265	3600
0.089	0.469	0.006	29	17.046	100.00	1991.0	32.294	3600
0.074	0.434	0.004	30	17.579	99.92	1964.5	32.427	3600
0.078	0.472	0.003	31	18.150	100.00	1959.8	32.434	3600
0.078	0.466	0.005	32	18.715	99.75	1934.4	32.586	3600
0.098	0.466	0.004	33	19.299	100.00	1930.1	32.599	3600
0.075	0.444	0.004	34	19.839	99.86	1912.8	32.691	3600
0.088	0.469	0.003	35	20.415	100.00	1908.8	32.699	3600
0.081	0.437	0.005	36	20.952	100.00	1882.8	32.856	3600
0.088	0.474	0.004	37	21.533	100.00	1879.1	32.878	3600
0.078	0.448	0.005	38	22.078	99.89	1861.5	32.971	3600
0.078	0.479	0.003	39	22.653	100.00	1859.3	32.983	3600
0.081	0.435	0.004	40	23.188	100.00	1847.8	33.050	3600
0.083	0.468	0.004	41	23.760	100.00	1844.4	33.072	3600
0.078	0.443	0.004	42	24.302	100.00	1831.9	33.136	3600
0.081	0.478	0.004	43	24.883	100.00	1830.3	33.139	3600
0.078	0.434	0.005	44	25.415	100.00	1819.0	33.199	3600
0.081	0.473	0.003	45	25.990	100.00	1817.4	33.209	3600
0.082	0.458	0.007	46	26.554	100.00	1805.9	33.292	3600
0.081	0.481	0.004	47	27.138	100.00	1804.4	33.299	3600
0.083	0.455	0.004	48	27.695	100.00	1792.4	33.334	3600
0.082	0.486	0.003	49	28.284	100.00	1790.1	33.357	3600
0.075	0.446	0.005	50	28.826	100.00	1781.6	33.443	3600
0.077	0.487	0.003	51	29.410	100.00	1780.1	33.454	3600
0.083	0.442	0.004	52	29.959	100.00	1772.6	33.500	3600
0.084	0.476	0.004	53	30.539	100.00	1771.4	33.513	3600
0.078	0.439	0.004	54	31.077	100.00	1763.3	33.571	3600
0.080	0.484	0.003	55	31.659	100.00	1762.0	33.581	3600
0.077	0.478	0.005	56	32.236	100.00	1756.2	33.640	3600
0.094	0.481	0.003	57	32.831	100.00	1755.5	33.657	3600
0.084	0.455	0.004	58	33.390	100.00	1750.9	33.699	3600
0.082	0.504	0.004	59	33.997	100.00	1749.2	33.706	3600
0.077	0.445	0.008	60	34.548	100.00	1741.7	33.767	3600
0.160	0.889	0.006	61	35.639	100.00	1740.3	33.775	3600
0.169	1.076	0.008	62	36.920	100.00	1732.7	33.838	3600
Denoised image written to	Images/result_1_60.pgm
