Mode	2 (HOCR)	Original image:	Images/original_190.pgm	Noise-added image:	Images/noise_190.pgm
Initial Energy =	91094.2	Initial PSNR =	22.509

t_build	t_HOCR	t_solve	Iter	t(sec.)	labeled	Energy	PSNR	#vars
0.5240	0.6590	2.0360	0	3.427	43.08	77683.5	23.503	196922
0.5490	0.6850	0.9070	1	5.741	75.99	74819.5	23.707	212335
0.5290	0.6410	1.8420	2	8.918	44.11	65922.2	24.477	197884
0.5540	0.7000	0.8980	3	11.241	77.87	63843.3	24.647	212144
0.5220	0.6120	1.9910	4	14.532	43.64	57830.2	25.264	198625
0.5580	0.6890	0.9000	5	16.855	78.04	56314.0	25.413	212641
0.5280	0.6080	1.5220	6	19.677	48.25	51539.9	25.924	198440
0.5490	0.6920	0.8670	7	21.958	79.35	50330.9	26.055	212471
0.5330	0.6050	1.4040	8	24.665	49.89	46666.0	26.492	199935
0.5490	0.7060	0.8710	9	26.963	81.25	45604.6	26.621	212534
0.5260	0.6150	1.3690	10	29.639	51.77	42730.2	27.002	199650
0.5560	0.7030	0.8540	11	31.922	81.80	41866.9	27.119	212090
0.5270	0.6180	1.2040	12	34.436	56.37	39419.3	27.481	199803
0.5540	0.7130	0.9040	13	36.781	80.47	38712.2	27.583	212509
0.5360	0.6390	1.1700	14	39.294	58.29	36631.2	27.905	200446
0.5510	0.7060	0.8880	15	41.608	80.91	36045.1	28.001	212451
0.5340	0.6280	1.0070	16	43.943	64.32	34116.3	28.326	200592
0.5510	0.7110	0.8930	17	46.270	81.11	33632.6	28.417	212775
0.5320	0.6250	0.9600	18	48.553	66.09	31999.3	28.728	200918
0.5500	0.7080	0.8690	19	50.850	82.67	31613.8	28.801	212398
0.5340	0.6250	0.9080	20	53.085	69.70	30185.6	29.095	201148
0.5520	0.7150	0.9020	21	55.425	80.36	29885.3	29.163	212309
0.5310	0.6300	0.8620	22	57.619	72.58	28639.2	29.434	201252
0.5530	0.7120	0.9230	23	59.977	81.24	28361.7	29.504	212705
0.5380	0.6270	0.8340	24	62.141	75.34	27287.4	29.761	200926
0.5470	0.7160	0.9240	25	64.496	79.94	27068.3	29.812	212766
0.5340	0.6280	0.7990	26	66.623	78.37	26089.9	30.068	201370
0.5510	0.7230	0.9410	27	69.012	79.34	25909.8	30.108	212414
0.5370	0.6330	0.7790	28	71.128	80.00	25051.8	30.336	201174
0.5520	0.7170	0.9210	29	73.491	81.26	24891.8	30.380	212354
0.5370	0.6230	0.6760	30	75.533	85.05	24093.0	30.609	200932
0.5540	0.7300	0.9390	31	77.926	79.19	23956.0	30.648	212285
0.5340	0.6340	0.6770	32	79.936	87.06	23201.5	30.895	200206
0.5630	0.7180	0.9250	33	82.317	80.67	23076.4	30.937	212522
0.5310	0.6400	0.6500	34	84.305	88.18	22448.2	31.146	201025
0.5480	0.7170	0.9750	35	86.715	78.98	22354.4	31.178	212608
0.5360	0.6330	0.6140	36	88.666	90.28	21804.5	31.375	201070
0.5500	0.7220	0.9420	37	91.052	80.37	21721.0	31.400	212591
0.5330	0.6320	0.5790	38	92.961	92.54	21191.2	31.609	200549
0.5570	0.7170	0.9600	39	95.367	79.09	21115.8	31.635	212494
0.5350	0.6340	0.5750	40	97.280	93.02	20692.0	31.805	201251
0.5460	0.7300	0.9420	41	99.668	79.71	20614.7	31.837	212323
0.5350	0.6330	0.5690	42	101.570	94.00	20221.8	32.019	201432
0.5540	0.7270	0.9370	43	103.963	79.42	20168.1	32.041	212467
0.5330	0.6340	0.5590	44	105.855	94.15	19841.0	32.180	200941
0.5440	0.7230	0.9360	45	108.229	80.33	19790.1	32.201	212326
0.5280	0.6290	0.5290	46	110.083	95.66	19475.6	32.361	200982
0.5470	0.7140	0.9280	47	112.443	80.47	19431.3	32.386	212549
0.5290	0.6360	0.5300	48	114.303	96.16	19145.3	32.526	201524
0.5520	0.7220	0.9130	49	116.660	80.31	19104.9	32.548	212433
0.5270	0.6340	0.5340	50	118.520	95.72	18873.2	32.674	201088
0.5510	0.7110	0.9400	51	120.894	79.83	18835.2	32.695	212612
0.5340	0.6310	0.5170	52	122.744	96.73	18601.3	32.830	201188
0.5560	0.7080	0.9310	53	125.114	79.97	18567.4	32.849	212563
0.6090	0.6690	0.5110	54	127.070	97.41	18365.1	32.973	201740
0.5510	0.7200	0.9530	55	129.463	79.80	18337.6	32.989	212367
0.5310	0.6340	0.5180	56	131.315	96.60	18172.7	33.081	201617
0.5540	0.7210	0.9520	57	133.715	79.32	18146.1	33.096	212429
0.5320	0.6320	0.5080	58	135.551	97.25	17986.6	33.191	201063
0.5520	0.7280	0.9720	59	137.973	78.29	17964.8	33.197	212506
0.5330	0.6300	0.4830	60	139.828	98.21	17800.0	33.297	201374
0.5560	0.7260	0.9700	61	142.251	78.18	17776.3	33.312	212775
0.5340	0.6320	0.5020	62	144.087	97.20	17641.9	33.397	201756
0.5410	0.7120	0.9410	63	146.450	79.74	17622.9	33.411	212352
0.5300	0.6310	0.4870	64	148.265	98.65	17488.1	33.502	202287
0.5490	0.7270	0.9830	65	150.699	79.27	17470.3	33.514	212213
0.5270	0.6350	0.4830	66	152.509	98.32	17349.7	33.608	201175
0.5550	0.7230	0.9510	67	154.911	79.69	17335.4	33.619	212632
0.5340	0.6260	0.4820	68	156.722	98.28	17227.1	33.706	200720
0.5500	0.7220	1.0170	69	159.184	78.57	17216.6	33.714	212514
0.5320	0.6350	0.4810	70	160.997	98.73	17118.3	33.786	202081
0.5500	0.7170	0.9780	71	163.414	79.33	17105.2	33.794	212365
0.5330	0.6340	0.4790	72	165.225	98.24	17011.2	33.868	201271
0.5490	0.7200	0.9600	73	167.625	79.29	16999.2	33.878	212542
0.5330	0.6290	0.4800	74	169.433	98.25	16928.3	33.938	200785
0.5500	0.7160	0.9880	75	171.860	77.77	16920.0	33.945	212445
0.5310	0.6340	0.4870	76	173.683	97.99	16839.7	34.013	201594
0.5560	0.7250	0.9430	77	176.080	80.68	16828.5	34.021	212505
0.5310	0.6340	0.4740	78	177.887	98.83	16752.6	34.090	201123
0.5500	0.7210	0.9940	79	180.326	77.41	16742.8	34.100	212673
0.5320	0.6340	0.4690	80	182.126	99.05	16681.4	34.159	201853
0.5500	0.7180	0.9750	81	184.540	78.29	16673.5	34.167	212180
0.5320	0.6520	0.4690	82	186.359	99.01	16615.3	34.219	201395
0.5470	0.7220	0.9610	83	188.758	79.20	16606.8	34.225	212162
0.5300	0.6330	0.4710	84	190.560	98.69	16547.4	34.275	201190
0.5470	0.7160	0.9870	85	192.981	78.31	16538.2	34.282	212483
0.5250	0.6550	0.4660	86	194.791	98.73	16485.7	34.333	201219
0.5630	0.7130	0.9980	87	197.240	79.54	16478.9	34.336	212292
0.5360	0.6340	0.4760	88	199.052	98.66	16427.3	34.387	201810
0.5490	0.7210	0.9510	89	201.448	79.50	16419.1	34.395	212478
0.5320	0.6330	0.4690	90	203.286	99.06	16371.3	34.446	201230
0.5490	0.7200	1.0060	91	205.734	77.58	16364.3	34.450	212657
0.5320	0.6300	0.4610	92	207.522	98.99	16317.9	34.492	201363
0.5510	0.7210	1.0110	93	209.978	77.60	16312.3	34.496	212678
0.5330	0.6360	0.4780	94	211.791	99.17	16271.2	34.537	201360
0.5590	0.7270	1.0010	95	214.254	77.34	16265.2	34.544	212546
0.5360	0.6420	0.4570	96	216.054	99.00	16224.5	34.582	201991
0.5460	0.7240	0.9740	97	218.472	79.19	16219.5	34.587	212111
0.5560	0.6410	0.4680	98	220.304	99.19	16179.1	34.631	202144
0.5470	0.7130	0.9770	99	222.710	76.94	16174.3	34.638	212410
0.5290	0.6300	0.4580	100	224.494	99.14	16136.6	34.679	201887
0.5550	0.7230	0.9410	101	226.886	79.84	16131.0	34.685	212459
0.5350	0.6350	0.4570	102	228.680	99.01	16102.1	34.720	201181
0.5490	0.7200	0.9650	103	231.086	78.66	16096.8	34.727	212024
0.5320	0.6310	0.4680	104	232.884	98.52	16066.5	34.765	200886
0.5490	0.7200	0.9940	105	235.318	78.06	16061.8	34.770	212687
0.5300	0.6340	0.4570	106	237.107	99.20	16032.7	34.808	201755
0.5480	0.7390	0.9770	107	239.544	78.68	16028.8	34.813	212552
0.5350	0.6310	0.4550	108	241.330	99.17	16002.5	34.843	201385
0.5450	0.7200	0.9610	109	243.726	78.49	15999.7	34.847	212433
0.5290	0.6330	0.4570	110	245.511	99.26	15972.3	34.880	202008
0.5450	0.7160	0.9560	111	247.899	79.40	15968.1	34.884	212722
0.5320	0.6370	0.4480	112	249.680	99.25	15943.1	34.916	200901
0.5490	0.7140	1.0240	113	252.138	78.47	15939.3	34.919	212424
0.5440	0.6300	0.4560	114	253.937	99.41	15912.4	34.954	201205
0.5490	0.7210	0.9860	115	256.366	77.83	15909.1	34.958	212133
0.5810	0.6390	0.4640	116	258.217	99.20	15886.3	34.987	201408
0.5510	0.7140	0.9210	117	260.577	80.70	15883.3	34.991	211979
0.5330	0.6340	0.4640	118	262.376	99.11	15859.9	35.022	201640
0.5510	0.7220	0.9990	119	264.820	77.04	15856.6	35.027	212184
0.5320	0.6310	0.4580	120	266.647	99.01	15833.5	35.053	201663
0.5460	0.7170	0.9660	121	269.045	78.48	15831.2	35.056	212375
0.5300	0.6280	0.4490	122	270.817	99.10	15809.6	35.091	201277
0.5450	0.7210	0.9720	123	273.226	79.19	15807.2	35.095	212721
0.5330	0.6340	0.4480	124	275.010	99.26	15785.7	35.126	201472
0.5560	0.7190	0.9720	125	277.428	77.78	15783.7	35.128	212402
0.5380	0.6370	0.4920	126	279.265	99.28	15764.9	35.157	202346
0.5550	0.7210	0.9570	127	281.676	78.25	15762.8	35.160	212457
0.5330	0.6390	0.4540	128	283.468	99.26	15743.0	35.186	201500
0.5490	0.7200	0.9700	129	285.879	78.45	15740.5	35.189	212536
0.5330	0.6360	0.4600	130	287.675	99.17	15722.4	35.210	202456
0.5480	0.7210	1.0220	131	290.140	77.24	15720.3	35.212	212205
0.5320	0.6360	0.4610	132	291.936	99.42	15703.2	35.234	201950
0.5500	0.7220	1.0150	133	294.397	77.18	15701.3	35.236	212491
0.5300	0.6350	0.4510	134	296.180	99.50	15684.7	35.261	201249
0.5490	0.7290	0.9780	135	298.607	78.71	15682.5	35.264	212584
0.5510	0.6760	0.4730	136	300.477	99.16	15666.8	35.286	201497
0.5810	0.7240	0.9810	137	302.952	77.72	15664.6	35.290	212663
0.5330	0.6380	0.4530	138	304.743	99.39	15648.6	35.314	201938
0.5480	0.7270	0.9840	139	307.175	78.66	15646.8	35.317	212317
0.5310	0.6350	0.4560	140	308.962	99.06	15631.3	35.341	201825
0.5480	0.7220	0.9630	141	311.370	78.57	15629.9	35.343	212311
0.5320	0.6380	0.4550	142	313.164	99.07	15615.5	35.363	202035
0.5470	0.7220	1.0120	143	315.617	77.49	15613.8	35.366	212602
0.5360	0.6410	0.4480	144	317.412	99.48	15602.5	35.382	202002
0.5530	0.7210	1.0130	145	319.871	77.02	15601.3	35.384	212767
0.5310	0.6370	0.4580	146	321.665	99.17	15587.5	35.406	201837
