Mode	1 (Approx. ELC)	Original image:	Images2/original_130.pgm	Noise-added image:	Images2/noise_130.pgm
Initial Energy =	39863.9	Initial PSNR =	22.948

t_build	t_ELCapprox	t_solve	Iter	t(sec.)	labeled	Energy	PSNR	#vars
0.2610	1.1750		0.0290	0	1.527	97.47	26600.5	25.355	16900
0.2840	1.4030		0.0150	1	3.275	99.98	25327.4	25.637	16900
0.2370	1.2110		0.0200	2	4.782	98.29	19928.5	27.023	16900
0.2540	1.2970		0.0130	3	6.381	99.95	19317.2	27.185	16900
0.2450	1.1450		0.0190	4	7.826	98.49	16467.6	28.222	16900
0.2540	1.2940		0.0140	5	9.424	100.00	16080.5	28.356	16900
0.2420	1.1280		0.0190	6	10.850	99.11	14382.2	29.062	16900
0.2550	1.2770		0.0130	7	12.433	100.00	14153.1	29.144	16900
0.2430	1.1550		0.0190	8	13.883	99.27	12952.5	29.704	16900
0.2560	1.3230		0.0140	9	15.513	100.00	12793.6	29.778	16900
0.2970	1.2250		0.0180	10	17.092	99.46	12001.3	30.166	16900
0.2640	1.3050		0.0130	11	18.712	100.00	11870.9	30.230	16900
0.2420	1.1580		0.0190	12	20.168	99.28	11240.1	30.619	16900
0.2570	1.2950		0.0140	13	21.771	100.00	11140.0	30.677	16900
0.2440	1.1610		0.0170	14	23.228	99.59	10600.6	31.026	16900
0.2560	1.3030		0.0140	15	24.838	100.00	10513.1	31.067	16900
0.2430	1.1600		0.0170	16	26.297	99.67	10128.1	31.351	16900
0.2560	1.2960		0.0140	17	27.898	100.00	10053.9	31.392	16900
0.2480	1.1610		0.0160	18	29.361	99.88	9745.1	31.611	16900
0.2520	1.2780		0.0130	19	30.941	100.00	9680.9	31.661	16900
0.2440	1.2450		0.0160	20	32.480	99.91	9420.7	31.867	16900
0.2560	1.2800		0.0130	21	34.066	100.00	9376.8	31.903	16900
0.2450	1.1620		0.0170	22	35.526	99.86	9141.3	32.113	16900
0.2550	1.2590		0.0130	23	37.090	100.00	9087.1	32.163	16900
0.2460	1.1720		0.0160	24	38.561	100.00	8899.1	32.329	16900
0.2570	1.2980		0.0120	25	40.165	100.00	8860.3	32.369	16900
0.2460	1.1770		0.0180	26	41.643	99.98	8704.9	32.534	16900
0.2520	1.2860		0.0130	27	43.233	100.00	8676.9	32.556	16900
0.2450	1.1850		0.0160	28	44.715	99.92	8538.0	32.674	16900
0.2550	1.2950		0.0140	29	46.318	100.00	8508.8	32.703	16900
0.2470	1.1460		0.0170	30	47.783	100.00	8369.3	32.839	16900
0.2570	1.2820		0.0130	31	49.374	100.00	8348.6	32.863	16900
0.2440	1.1810		0.0160	32	50.851	99.94	8243.1	32.984	16900
0.2520	1.2720		0.0140	33	52.427	100.00	8224.5	33.007	16900
0.2420	1.1530		0.0160	34	53.875	99.98	8132.8	33.100	16900
0.2540	1.2840		0.0130	35	55.463	100.00	8117.7	33.114	16900
0.2460	1.1740		0.0160	36	56.936	99.98	8026.7	33.216	16900
0.2580	1.2940		0.0120	37	58.535	100.00	8008.2	33.236	16900
0.2460	1.1940		0.0170	38	60.030	99.97	7928.2	33.329	16900
0.2600	1.2960		0.0150	39	61.637	100.00	7914.6	33.345	16900
0.2430	1.1620		0.0150	40	63.096	99.94	7848.3	33.420	16900
0.2580	1.2940		0.0130	41	64.697	100.00	7835.9	33.436	16900
0.2450	1.1550		0.0160	42	66.149	99.96	7777.3	33.526	16900
0.2540	1.2890		0.0130	43	67.745	100.00	7764.5	33.537	16900
0.2490	1.1600		0.0160	44	69.208	99.98	7709.1	33.622	16900
0.2560	1.2960		0.0150	45	70.811	100.00	7699.1	33.641	16900
0.2460	1.1720		0.0160	46	72.280	100.00	7647.9	33.713	16900
0.2570	1.2880		0.0140	47	73.876	100.00	7637.8	33.730	16900
0.2450	1.2700		0.0160	48	75.444	100.00	7594.8	33.789	16900
0.2550	1.2920		0.0140	49	77.043	100.00	7583.8	33.806	16900
0.2450	1.1700		0.0170	50	78.512	99.98	7540.4	33.870	16900
0.2550	1.2930		0.0130	51	80.109	100.00	7533.1	33.882	16900
0.2460	1.1690		0.0160	52	81.576	100.00	7493.5	33.945	16900
0.2530	1.2800		0.0120	53	83.158	100.00	7485.4	33.957	16900
0.2470	1.1650		0.0160	54	84.622	99.98	7445.7	34.019	16900
0.2580	1.2930		0.0130	55	86.222	100.00	7438.5	34.031	16900
0.2480	1.2020		0.0160	56	87.723	99.98	7404.7	34.104	16900
0.2580	1.3060		0.0130	57	89.336	100.00	7398.6	34.114	16900
0.2480	1.1840		0.0180	58	90.822	99.98	7366.4	34.174	16900
0.2560	1.2670		0.0130	59	92.395	100.00	7359.1	34.186	16900
0.2470	1.1710		0.0160	60	93.885	100.00	7328.2	34.238	16900
0.2570	1.2990		0.0140	61	95.491	100.00	7322.0	34.255	16900
0.2490	1.1870		0.0150	62	96.979	99.96	7296.4	34.299	16900
0.2570	1.3010		0.0130	63	98.586	100.00	7291.8	34.309	16900
0.2450	1.1770		0.0150	64	100.059	100.00	7266.6	34.354	16900
0.2550	1.2780		0.0130	65	101.641	100.00	7263.0	34.365	16900
0.2440	1.1600		0.0160	66	103.096	99.98	7240.6	34.412	16900
0.2550	1.3010		0.0130	67	104.703	100.00	7236.6	34.419	16900
0.2490	1.2010		0.0170	68	106.210	99.98	7213.5	34.466	16900
0.2550	1.2780		0.0130	69	107.793	100.00	7208.2	34.478	16900
0.2470	1.1890		0.0160	70	109.282	100.00	7184.0	34.530	16900
0.2550	1.2900		0.0130	71	110.877	100.00	7180.0	34.537	16900
0.2480	1.2840		0.0160	72	112.461	100.00	7159.3	34.584	16900
0.2570	1.2830		0.0140	73	114.051	100.00	7155.7	34.593	16900
0.2500	1.1930		0.0150	74	115.547	100.00	7137.0	34.639	16900
0.2550	1.2890		0.0140	75	117.140	100.00	7133.5	34.645	16900
0.2490	1.1940		0.0160	76	118.635	99.98	7113.4	34.680	16900
0.2540	1.3070		0.0140	77	120.248	100.00	7110.6	34.688	16900
0.2470	1.1800		0.0170	78	121.727	99.96	7094.1	34.725	16900
0.2560	1.2910		0.0130	79	123.325	100.00	7091.4	34.731	16900
0.2470	1.1900		0.0170	80	124.815	100.00	7075.2	34.758	16900
0.2570	1.2920		0.0130	81	126.413	100.00	7071.2	34.768	16900
0.2480	1.2030		0.0150	82	127.916	100.00	7056.7	34.799	16900
0.2530	1.2870		0.0140	83	129.506	100.00	7053.8	34.804	16900
0.2480	1.1980		0.0160	84	131.006	100.00	7041.0	34.834	16900
0.2540	1.2900		0.0130	85	132.602	100.00	7039.1	34.836	16900
0.2450	1.2060		0.0170	86	134.107	100.00	7023.9	34.868	16900
0.2580	1.2910		0.0130	87	135.705	100.00	7021.5	34.873	16900
0.2460	1.1910		0.0150	88	137.194	100.00	7007.0	34.908	16900
0.2540	1.2870		0.0130	89	138.784	100.00	7004.6	34.911	16900
0.2500	1.2020		0.0180	90	140.309	99.97	6991.4	34.939	16900
0.2550	1.2870		0.0140	91	141.902	100.00	6989.1	34.945	16900
0.2470	1.2100		0.0170	92	143.413	100.00	6976.4	34.973	16900
0.2530	1.3030		0.0140	93	145.022	100.00	6975.1	34.975	16900
0.2490	1.1990		0.0160	94	146.522	100.00	6963.3	35.004	16900
0.2620	1.3090		0.0130	95	148.142	100.00	6961.0	35.011	16900
0.2520	1.1920		0.0160	96	149.637	99.98	6949.4	35.039	16900
0.2580	1.2940		0.0140	97	151.241	100.00	6947.6	35.042	16900
0.2480	1.1850		0.0160	98	152.726	100.00	6937.5	35.067	16900
0.2560	1.2820		0.0130	99	154.314	100.00	6935.8	35.070	16900
0.2480	1.1870		0.0160	100	155.802	100.00	6925.3	35.099	16900
0.2550	1.2870		0.0120	101	157.393	100.00	6922.9	35.104	16900
0.2490	1.2050		0.0160	102	158.900	100.00	6913.3	35.134	16900
0.2570	1.2950		0.0120	103	160.502	100.00	6911.3	35.139	16900
0.2490	1.2120		0.0160	104	162.013	100.00	6902.2	35.160	16900
0.2600	1.2950		0.0120	105	163.616	100.00	6899.5	35.165	16900
0.2510	1.2150		0.0160	106	165.133	100.00	6890.4	35.189	16900
0.2580	1.3030		0.0130	107	166.742	100.00	6888.3	35.195	16900
0.2490	1.2090		0.0170	108	168.254	100.00	6880.3	35.220	16900
0.2560	1.2960		0.0140	109	169.858	100.00	6878.6	35.224	16900
0.2510	1.2000		0.0150	110	171.361	100.00	6870.2	35.245	16900
0.2560	1.2830		0.0130	111	172.950	100.00	6869.1	35.248	16900
0.2460	1.1870		0.0150	112	174.433	100.00	6862.2	35.263	16900
0.2550	1.2860		0.0130	113	176.025	100.00	6861.0	35.267	16900
0.2490	1.1930		0.0160	114	177.519	100.00	6852.1	35.289	16900
0.2540	1.2770		0.0150	115	179.101	100.00	6850.6	35.294	16900
0.2460	1.1980		0.0150	116	180.595	100.00	6843.2	35.316	16900
0.2530	1.2850		0.0130	117	182.183	100.00	6841.4	35.320	16900
0.2500	1.1970		0.0160	118	183.682	100.00	6835.7	35.343	16900
0.2550	1.2850		0.0140	119	185.272	100.00	6834.4	35.343	16900
0.2460	1.1940		0.0170	120	186.783	100.00	6828.0	35.366	16900
Denoised image written to	Images2/result_1_130.pgm
