Mode	1 (Approx. ELC)	Original image:	Images2/original_20.pgm	Noise-added image:	Images2/noise_20.pgm
Initial Energy =	669.7	Initial PSNR =	24.265

t_build	t_ELCapprox		range			#quadratics	t_solve	Iter	t(sec.)	labeled	Energy	PSNR	#vars
0.000	0.016			[ -13436,   11503]	1043		0.000	0	0.016	96.75	414.6	26.707	400
0.016	0.037			[ -25202,  125407]	1465		0.000	1	0.069	100.00	406.4	26.700	400
0.016	0.016			[  -9113,   12039]	1043		0.000	2	0.101	93.75	298.1	29.383	400
0.000	0.038			[ -23229,  121297]	1469		0.000	3	0.154	100.00	291.1	29.405	400
0.000	0.016			[  -8360,   14229]	1069		0.000	4	0.185	100.00	234.8	30.209	400
0.000	0.031			[ -24485,  125504]	1476		0.000	5	0.216	100.00	231.2	30.269	400
0.000	0.023			[  -6611,   12615]	1108		0.000	6	0.239	96.75	206.8	30.667	400
0.015	0.031			[ -25545,  123491]	1482		0.000	7	0.285	100.00	204.8	30.727	400
0.000	0.016			[ -10048,   15033]	1119		0.016	8	0.317	94.75	191.2	31.216	400
0.000	0.022			[ -25985,  123746]	1482		0.000	9	0.339	100.00	190.6	31.200	400
0.000	0.016			[  -8526,   12066]	1098		0.000	10	0.370	98.25	181.0	31.326	400
0.016	0.015			[ -23698,  124152]	1473		0.000	11	0.417	100.00	179.6	31.352	400
0.000	0.022			[  -6011,   13723]	1077		0.000	12	0.439	99.25	174.9	31.487	400
0.000	0.031			[ -26767,  122990]	1466		0.000	13	0.470	100.00	173.8	31.552	400
0.016	0.016			[  -8173,   13679]	1127		0.000	14	0.502	100.00	169.4	31.601	400
0.015	0.022			[ -25251,  124141]	1466		0.000	15	0.539	100.00	167.7	31.627	400
0.016	0.016			[  -6675,   13473]	1172		0.000	16	0.571	100.00	162.1	31.950	400
0.015	0.016			[ -25154,  124763]	1469		0.000	17	0.602	100.00	161.8	31.976	400
0.000	0.022			[  -7948,   13237]	1130		0.000	18	0.640	100.00	157.4	32.185	400
0.000	0.031			[ -26869,  123567]	1467		0.000	19	0.671	100.00	156.9	32.201	400
0.016	0.015			[  -7754,   13271]	1189		0.000	20	0.702	99.00	154.0	32.215	400
0.016	0.022			[ -23491,  124546]	1480		0.000	21	0.740	100.00	153.2	32.223	400
0.016	0.015			[  -8028,   12245]	1139		0.000	22	0.771	100.00	150.7	32.398	400
0.016	0.016			[ -25983,  122150]	1482		0.000	23	0.818	100.00	150.4	32.425	400
0.000	0.022			[  -7809,   12340]	1177		0.000	24	0.840	100.00	148.7	32.465	400
Denoised image written to	Images2/result_1_20.pgm
