Mode	2 (HOCR)	Original image:	Images2/original_300.pgm	Noise-added image:	Images2/noise_300.pgm
Initial Energy =	216476.2	Initial PSNR =	22.867

t_build	t_HOCR	t_solve	Iter	t(sec.)	labeled	Energy	PSNR	#vars
1.3300	1.4680	5.0540	0	8.338	46.60	182273.7	23.919	469975
1.4590	1.7640	2.2400	1	14.266	77.64	175688.1	24.103	531363
1.2920	4.3150	4.8000	2	25.110	46.81	154111.9	24.864	475140
1.5030	1.9270	2.2240	3	31.212	79.25	149189.4	25.036	531119
1.3200	1.5090	5.2580	4	39.709	47.03	134474.6	25.636	480737
1.3890	1.7900	2.3100	5	45.636	79.20	130622.7	25.790	531322
1.3330	1.5080	4.2500	6	53.136	49.78	119296.9	26.311	482277
1.4010	1.8030	2.3040	7	59.075	78.97	116362.7	26.446	531507
1.3110	1.5140	3.9910	8	66.301	52.11	107716.6	26.879	484395
1.3980	1.7950	2.4140	9	72.340	78.42	105390.6	26.994	531323
1.3420	1.5310	3.5160	10	79.144	55.54	98437.0	27.383	484549
1.4130	4.5930	2.4840	11	88.112	79.49	96613.2	27.491	531352
1.4680	1.7120	3.1040	12	94.860	58.78	90762.9	27.844	486538
1.4230	1.8800	2.3990	13	100.999	79.94	89217.7	27.940	531369
1.3470	1.6320	2.6580	14	107.058	63.05	84010.2	28.285	487378
1.3920	1.8020	2.4560	15	113.141	78.95	82718.3	28.371	531161
1.3360	1.5470	2.5230	16	118.964	65.01	78670.3	28.649	488950
1.3890	1.8260	2.4420	17	125.058	78.27	77627.0	28.722	531576
1.3240	1.5470	2.4230	18	130.759	67.87	74057.4	28.997	489675
1.4090	1.8780	2.5240	19	137.001	77.79	73187.6	29.069	531337
1.3280	4.4840	2.3090	20	145.570	70.95	70006.2	29.330	490849
1.5440	2.0390	2.4570	21	152.077	78.83	69286.5	29.393	531377
1.3600	1.5960	2.2110	22	157.663	73.52	66505.0	29.641	491600
1.4120	1.9030	2.4650	23	163.877	78.65	65912.7	29.691	531751
1.3330	1.5550	2.0460	24	169.223	77.10	63395.2	29.945	493258
1.3950	1.8300	2.6020	25	175.485	76.49	62898.1	29.989	531620
1.3400	1.5650	2.0280	26	180.837	78.75	60767.3	30.219	493656
1.3990	1.8340	2.5390	27	187.044	77.56	60306.7	30.269	531397
1.3390	1.5650	1.9240	28	192.293	81.45	58351.9	30.492	494947
1.3890	1.7970	5.1710	29	201.089	77.85	57998.1	30.531	531169
1.4760	1.7410	1.7810	30	206.763	86.50	56127.7	30.762	489335
1.4800	1.9340	2.5320	31	213.160	77.04	55810.8	30.801	531586
1.4220	1.6350	1.6700	32	218.311	87.06	54120.5	31.017	491249
1.4050	1.8360	2.5480	33	224.539	77.23	53861.9	31.053	531411
1.3350	1.5630	1.5640	34	229.416	89.64	52376.3	31.251	492901
1.3820	1.8650	2.5980	35	235.696	76.17	52136.7	31.286	531367
1.3300	1.5510	1.5370	36	240.531	90.94	50816.4	31.479	492051
1.3970	1.8580	2.6390	37	246.865	76.33	50601.5	31.510	531481
1.3360	1.5670	1.5180	38	251.704	91.62	49521.9	31.675	492861
1.3860	1.8430	2.5700	39	257.943	76.76	49356.4	31.701	531796
1.3270	1.5750	1.4540	40	262.748	93.47	48334.9	31.865	494018
1.4010	1.8330	2.4860	41	268.906	77.52	48181.3	31.889	531183
